Mortgage Amortization Schedule
Loan amount: $388000.0, Interest rate: 2.5%, Term: 30 years, Monthly payment: $1533.07, Final payment: $1532.58, Total paid: $551905.20, Cost of credit: $163905.20
Month	Interest Payment	Principal Payment	Remaining Balance
1	808.33	724.74	387275.26
2	806.82	726.25	386549.02
3	805.31	727.76	385821.26
4	803.79	729.28	385091.98
5	802.27	730.80	384361.19
6	800.75	732.32	383628.87
7	799.23	733.84	382895.03
8	797.70	735.37	382159.65
9	796.17	736.90	381422.75
10	794.63	738.44	380684.31
11	793.09	739.98	379944.33
12	791.55	741.52	379202.81
13	790.01	743.06	378459.75
14	788.46	744.61	377715.14
15	786.91	746.16	376968.97
16	785.35	747.72	376221.26
17	783.79	749.28	375471.98
18	782.23	750.84	374721.14
19	780.67	752.40	373968.74
20	779.10	753.97	373214.77
21	777.53	755.54	372459.23
22	775.96	757.11	371702.12
23	774.38	758.69	370943.43
24	772.80	760.27	370183.16
25	771.21	761.86	369421.30
26	769.63	763.44	368657.86
27	768.04	765.03	367892.83
28	766.44	766.63	367126.20
29	764.85	768.22	366357.98
30	763.25	769.82	365588.15
31	761.64	771.43	364816.73
32	760.03	773.04	364043.69
33	758.42	774.65	363269.05
34	756.81	776.26	362492.79
35	755.19	777.88	361714.91
36	753.57	779.50	360935.41
37	751.95	781.12	360154.29
38	750.32	782.75	359371.54
39	748.69	784.38	358587.16
40	747.06	786.01	357801.15
41	745.42	787.65	357013.50
42	743.78	789.29	356224.21
43	742.13	790.94	355433.27
44	740.49	792.58	354640.69
45	738.83	794.24	353846.45
46	737.18	795.89	353050.56
47	735.52	797.55	352253.01
48	733.86	799.21	351453.80
49	732.20	800.87	350652.93
50	730.53	802.54	349850.39
51	728.85	804.22	349046.17
52	727.18	805.89	348240.28
53	725.50	807.57	347432.71
54	723.82	809.25	346623.46
55	722.13	810.94	345812.52
56	720.44	812.63	344999.89
57	718.75	814.32	344185.57
58	717.05	816.02	343369.56
59	715.35	817.72	342551.84
60	713.65	819.42	341732.42
61	711.94	821.13	340911.29
62	710.23	822.84	340088.46
63	708.52	824.55	339263.90
64	706.80	826.27	338437.63
65	705.08	827.99	337609.64
66	703.35	829.72	336779.92
67	701.62	831.45	335948.48
68	699.89	833.18	335115.30
69	698.16	834.91	334280.39
70	696.42	836.65	333443.74
71	694.67	838.40	332605.34
72	692.93	840.14	331765.20
73	691.18	841.89	330923.31
74	689.42	843.65	330079.66
75	687.67	845.40	329234.26
76	685.90	847.17	328387.09
77	684.14	848.93	327538.16
78	682.37	850.70	326687.46
79	680.60	852.47	325834.99
80	678.82	854.25	324980.74
81	677.04	856.03	324124.72
82	675.26	857.81	323266.91
83	673.47	859.60	322407.31
84	671.68	861.39	321545.92
85	669.89	863.18	320682.74
86	668.09	864.98	319817.76
87	666.29	866.78	318950.97
88	664.48	868.59	318082.39
89	662.67	870.40	317211.99
90	660.86	872.21	316339.78
91	659.04	874.03	315465.75
92	657.22	875.85	314589.90
93	655.40	877.67	313712.22
94	653.57	879.50	312832.72
95	651.73	881.34	311951.38
96	649.90	883.17	311068.21
97	648.06	885.01	310183.20
98	646.22	886.85	309296.35
99	644.37	888.70	308407.64
100	642.52	890.55	307517.09
101	640.66	892.41	306624.68
102	638.80	894.27	305730.41
103	636.94	896.13	304834.28
104	635.07	898.00	303936.28
105	633.20	899.87	303036.41
106	631.33	901.74	302134.67
107	629.45	903.62	301231.05
108	627.56	905.51	300325.54
109	625.68	907.39	299418.15
110	623.79	909.28	298508.87
111	621.89	911.18	297597.69
112	620.00	913.07	296684.61
113	618.09	914.98	295769.64
114	616.19	916.88	294852.75
115	614.28	918.79	293933.96
116	612.36	920.71	293013.25
117	610.44	922.63	292090.63
118	608.52	924.55	291166.08
119	606.60	926.47	290239.61
120	604.67	928.40	289311.20
121	602.73	930.34	288380.86
122	600.79	932.28	287448.59
123	598.85	934.22	286514.37
124	596.90	936.17	285578.20
125	594.95	938.12	284640.09
126	593.00	940.07	283700.02
127	591.04	942.03	282757.99
128	589.08	943.99	281814.00
129	587.11	945.96	280868.04
130	585.14	947.93	279920.11
131	583.17	949.90	278970.21
132	581.19	951.88	278018.33
133	579.20	953.87	277064.46
134	577.22	955.85	276108.61
135	575.23	957.84	275150.77
136	573.23	959.84	274190.93
137	571.23	961.84	273229.09
138	569.23	963.84	272265.25
139	567.22	965.85	271299.40
140	565.21	967.86	270331.53
141	563.19	969.88	269361.65
142	561.17	971.90	268389.75
143	559.15	973.92	267415.83
144	557.12	975.95	266439.87
145	555.08	977.99	265461.89
146	553.05	980.02	264481.86
147	551.00	982.07	263499.80
148	548.96	984.11	262515.69
149	546.91	986.16	261529.52
150	544.85	988.22	260541.31
151	542.79	990.28	259551.03
152	540.73	992.34	258558.69
153	538.66	994.41	257564.29
